blockNumber,targetBlock,initialSeed,tokenId,createTokenSeed,timestamp,parentBlockId,parentBlockHash,difficulty,details,heroRarity
13762213,13762205,97565155621811153642930578834600994088764448188645859029708879993923747929071,7439846,11297273206213398981891742865594783119444414024386866756806647366654994566033535466293633844645860147376353683254199011137995853423364685781809227904419302,1640372122,13762212,0x33c9c0f2156c0c2378f1b9154028510adeffc0ba978847a2545ad477f9ae0611,2,199350714292642102677506983398,0
13762213,13762190,73986683756687036215641228239085307936685700678444409238437785555994092323576,7439852,8567072687927397943771638049198872783460344143039594322021927514924541556646230558120836750845178317729281181418031169060374164213095913739002094491370988,1640372122,13762212,0x33c9c0f2156c0c2378f1b9154028510adeffc0ba978847a2545ad477f9ae0611,2,159736636615367234482013832684,0
13762213,13762180,14804851257084118512783037848245192243388810101458663299960851021405892170467,7439855,1714284657905477105461796386467336686574284761715536064897658662916071127552867629305104177312184071302200888818226047636653878405057717067396373250409967,1640372122,13762212,0x33c9c0f2156c0c2378f1b9154028510adeffc0ba978847a2545ad477f9ae0611,2,159734201015582305711824143855,0
13762213,13762206,43150791682455959589377615400730407620841956580952619946373526287187521107449,7439850,4996520321155781922949136218756572253639249006679283725447395712840003944174556710143789851419569225006263675910702294505289292782836763047100305344923114,1640372122,13762212,0x33c9c0f2156c0c2378f1b9154028510adeffc0ba978847a2545ad477f9ae0611,2,238964799054764857770057500138,0
13762214,13762207,71100055484799224373137595881893354276150574181133673979364725499238135367586,7439869,8232823969474004597802670514655273958371375952078257937194013932407518126607597162260732786591503059358273838061466225656038223357701216187625831192954365,1640372125,13762213,0x0c807d6b62ccef69261c640a4c7a96ae759cd335fc2e1c429e6fd2946fdf65ac,2,120121335769079357844451591677,0
13762214,13762208,52343177767312880314018905098136108821005779411528384724761972056906849114474,7439870,6060925910997398132285564502804871985657190592616409795332741111885116438349422251756829392204257007819817930397094329862928088851660059051109924073473534,1640372125,13762213,0x0c807d6b62ccef69261c640a4c7a96ae759cd335fc2e1c429e6fd2946fdf65ac,2,120121342815632011210070787582,0
13762214,13762190,73986683756687036215641228239085307936685700678444409238437785555994092323576,7439865,8567072687927397943771638049198872783460344143039594322021927514924541556646230558120836750845178317729281181418031169060374164213095913739002094491371001,1640372125,13762213,0x0c807d6b62ccef69261c640a4c7a96ae759cd335fc2e1c429e6fd2946fdf65ac,2,6499267495959607262856894055929,1
13762214,13762177,21151316989064824111355041557381114317341606829523843196746856460917767472910,7439863,2449155184284556216314173720351189823092057565002873399091219663034101871785468100785587733561580758182030242798072135121073023867936138019013280941573623,1640372125,13762213,0x0c807d6b62ccef69261c640a4c7a96ae759cd335fc2e1c429e6fd2946fdf65ac,2,120122549381489985803347133943,0
13762215,13762200,92107765177330872556761568625509840076136154101741523928170303313544796920902,7439881,10665350564863261578392032860376181197117346056095543358945694464190839330159163008588369840941421422975485924391341691314605031584230667338503484739782153,1640372128,13762214,0xfcf6138018ceed1228667dcab85b3017fba74c5399c0416ffd2f3a7b2ea002a1,2,278577663194423754718117463561,0
13762215,13762192,36481882063140858519699698390384251762613066186161036834502182212043440181460,7439871,4224313343400451362365480742676351855561788255343414057758041497268913829427952193209461925116730095187765496215343786494623282398326764445907324310226431,1640372128,13762214,0xfcf6138018ceed1228667dcab85b3017fba74c5399c0416ffd2f3a7b2ea002a1,2,159735413522556257634960377343,0
13762217,13762208,52343177767312880314018905098136108821005779411528384724761972056906849114474,7439887,6060925910997398132285564502804871985657190592616409795332741111885116438349422251756829392204257007819817930397094329862928088851660059051109924073473551,1640372134,13762216,0x0b003272eedd0e805ae11b307ed339d787586e973539a4996fa7841b0ba4b770,2,165036099773136255785594975782415,2
13762217,13762207,71100055484799224373137595881893354276150574181133673979364725499238135367586,7439882,8232823969474004597802670514655273958371375952078257937194013932407518126607597162260732786591503059358273838061466225656038223357701216187625831192954378,1640372134,13762216,0x0b003272eedd0e805ae11b307ed339d787586e973539a4996fa7841b0ba4b770,2,120121342888228911303376340490,0
13762218,13762197,40213461258906086690336358713262142822054639488681093250190022980382990633495,7439893,4656400694632611263465900839796305449768109666741330731484710909275190414932799543487610176712808208916598702942514489655128312782679796343007149898696213,1640372137,13762217,0xc9d351542118521fa84e3212f004110392b0d3fe38e74faf4aaf1de664c158b4,2,5112775866901710477740465030677,1
13762218,13762205,97565155621811153642930578834600994088764448188645859029708879993923747929071,7439890,11297273206213398981891742865594783119444414024386866756806647366654994566033535466293633844645860147376353683254199011137995853423364685781809227904419346,1640372137,13762217,0xc9d351542118521fa84e3212f004110392b0d3fe38e74faf4aaf1de664c158b4,2,80506044369798764758001878546,0
